air_store_id,visit_date,visitors,rf_prediction,extra_trees_prediction,gradient_boosting_prediction,predicted_visitors,predicted_visitors_rounded,absolute_error
air_36bcf77d3382d36e,2017-03-15,21,21.098430321527143,21.45647693676869,20.739380864269194,21.09809604085501,21,0.09809604085500823
air_36bcf77d3382d36e,2017-03-16,24,24.350704063186797,23.862925571836158,22.989106691597996,23.734245442206984,24,0.2657545577930165
air_36bcf77d3382d36e,2017-03-17,27,28.68319499908776,28.437513067839397,29.216511979110827,28.77907334867933,29,1.7790733486793293
air_36bcf77d3382d36e,2017-03-18,30,58.49321190476193,57.85810108836309,65.08796621448684,60.47975973587062,60,30.479759735870623
air_36bcf77d3382d36e,2017-03-19,41,53.889195238095205,52.49868165332604,51.367488839510465,52.58512191031057,53,11.58512191031057
air_36bcf77d3382d36e,2017-03-20,58,35.9506831172253,34.96355183166244,42.44711256638467,37.78711583842414,38,20.212884161575857
air_36bcf77d3382d36e,2017-03-21,15,24.44520573846916,23.322029032492065,20.88848247199857,22.885239080986597,23,7.885239080986597
air_36bcf77d3382d36e,2017-03-22,14,21.784090732217273,23.41711859914352,21.60930577927058,22.27017170354379,22,8.270171703543792
air_36bcf77d3382d36e,2017-03-23,19,20.818857432475493,22.346803349671077,20.37618928868704,21.180616690277873,21,2.1806166902778727
air_36bcf77d3382d36e,2017-03-24,13,31.418896092796082,30.244963219511202,32.097474734028914,31.253778015445402,31,18.253778015445402
air_36bcf77d3382d36e,2017-03-25,62,57.278964126984185,57.536460353507216,57.98550330273661,57.600309261076006,58,4.399690738923994
air_36bcf77d3382d36e,2017-03-26,48,52.346380952380954,51.869587888945574,58.82887594549775,54.34828159560809,54,6.348281595608093
air_36bcf77d3382d36e,2017-03-27,19,22.988892443333434,22.22778882339982,23.300710921856915,22.839130729530055,23,3.839130729530055
air_36bcf77d3382d36e,2017-03-28,20,21.60035539979311,22.96715949559739,23.3145042911914,22.627339728860633,23,2.6273397288606333
air_36bcf77d3382d36e,2017-03-29,22,22.96405955144331,23.08075613898122,27.667552868090947,24.57078951950516,25,2.5707895195051584
air_36bcf77d3382d36e,2017-03-30,13,22.443715327024876,22.943235785719814,26.17977140584175,23.855574172862145,24,10.855574172862145
air_36bcf77d3382d36e,2017-03-31,22,32.279673809523814,30.228582849110197,36.32540890873677,32.9445551891236,33,10.944555189123598
air_36bcf77d3382d36e,2017-04-01,36,53.52145142857139,55.99250652684383,53.07005226348271,54.19467007296598,54,18.194670072965977
air_36bcf77d3382d36e,2017-04-02,60,51.723722799422774,50.810538227621166,56.686334435283676,53.07353182077588,53,6.926468179224123
air_36bcf77d3382d36e,2017-04-03,17,24.28756742549339,22.763784264015722,25.71192694067048,24.254426210059865,24,7.254426210059865
air_36bcf77d3382d36e,2017-04-04,22,22.054443944483083,23.050391691395966,25.03201792069049,23.378951185523178,23,1.378951185523178
air_36bcf77d3382d36e,2017-04-05,20,20.26289521883043,21.02930833954624,20.891591893565558,20.727931817314076,21,0.7279318173140759
air_36bcf77d3382d36e,2017-04-06,19,21.597680651023914,22.33779750834836,21.530117514166047,21.821865224512774,22,2.8218652245127736
