air_store_id,visit_date,visitors,predicted_visitors,predicted_visitors_rounded,absolute_error
air_36bcf77d3382d36e,2017-03-15,21,21.45647693676869,21,0.4564769367686914
air_36bcf77d3382d36e,2017-03-16,24,23.862925571836158,24,0.1370744281638423
air_36bcf77d3382d36e,2017-03-17,27,28.437513067839397,28,1.4375130678393973
air_36bcf77d3382d36e,2017-03-18,30,57.85810108836309,58,27.858101088363092
air_36bcf77d3382d36e,2017-03-19,41,52.49868165332604,52,11.498681653326038
air_36bcf77d3382d36e,2017-03-20,58,34.96355183166244,35,23.036448168337557
air_36bcf77d3382d36e,2017-03-21,15,23.322029032492065,23,8.322029032492065
air_36bcf77d3382d36e,2017-03-22,14,23.41711859914352,23,9.417118599143521
air_36bcf77d3382d36e,2017-03-23,19,22.346803349671077,22,3.3468033496710774
air_36bcf77d3382d36e,2017-03-24,13,30.244963219511202,30,17.244963219511202
air_36bcf77d3382d36e,2017-03-25,62,57.536460353507216,58,4.463539646492784
air_36bcf77d3382d36e,2017-03-26,48,51.869587888945574,52,3.869587888945574
air_36bcf77d3382d36e,2017-03-27,19,22.22778882339982,22,3.2277888233998198
air_36bcf77d3382d36e,2017-03-28,20,22.96715949559739,23,2.9671594955973895
air_36bcf77d3382d36e,2017-03-29,22,23.08075613898122,23,1.0807561389812186
air_36bcf77d3382d36e,2017-03-30,13,22.943235785719814,23,9.943235785719814
air_36bcf77d3382d36e,2017-03-31,22,30.228582849110197,30,8.228582849110197
air_36bcf77d3382d36e,2017-04-01,36,55.99250652684383,56,19.992506526843833
air_36bcf77d3382d36e,2017-04-02,60,50.810538227621166,51,9.189461772378834
air_36bcf77d3382d36e,2017-04-03,17,22.763784264015722,23,5.763784264015722
air_36bcf77d3382d36e,2017-04-04,22,23.050391691395966,23,1.0503916913959657
air_36bcf77d3382d36e,2017-04-05,20,21.02930833954624,21,1.0293083395462403
air_36bcf77d3382d36e,2017-04-06,19,22.33779750834836,22,3.337797508348359
air_36bcf77d3382d36e,2017-04-07,38,27.631622579834733,28,10.368377420165267
air_36bcf77d3382d36e,2017-04-08,47,58.08007406152894,58,11.08007406152894
air_36bcf77d3382d36e,2017-04-09,67,50.96822438125709,51,16.031775618742913
air_36bcf77d3382d36e,2017-04-10,19,22.284573870952745,22,3.2845738709527446
air_36bcf77d3382d36e,2017-04-11,17,22.37537081379474,22,5.3753708137947385
air_36bcf77d3382d36e,2017-04-12,15,23.17133355803907,23,8.17133355803907
air_36bcf77d3382d36e,2017-04-13,12,21.846188155091777,22,9.846188155091777
air_36bcf77d3382d36e,2017-04-14,40,28.298382648013877,28,11.701617351986123
air_36bcf77d3382d36e,2017-04-15,66,58.5333553231803,59,7.466644676819698
air_36bcf77d3382d36e,2017-04-16,62,50.63677415550626,51,11.36322584449374
air_36bcf77d3382d36e,2017-04-17,24,20.766906410438196,21,3.233093589561804
air_36bcf77d3382d36e,2017-04-18,13,22.415877029542383,22,9.415877029542383
air_36bcf77d3382d36e,2017-04-19,30,21.70473943062337,22,8.29526056937663
air_36bcf77d3382d36e,2017-04-20,19,22.56596605552424,23,3.565966055524239
air_36bcf77d3382d36e,2017-04-21,21,29.673097011359737,30,8.673097011359737
air_36bcf77d3382d36e,2017-04-22,50,57.537422153365064,58,7.537422153365064
air_5c817ef28f236bdf,2017-03-15,12,30.334822274733718,30,18.334822274733718
air_5c817ef28f236bdf,2017-03-16,30,34.986453484044496,35,4.986453484044496
air_5c817ef28f236bdf,2017-03-17,54,42.38150659350282,42,11.61849340649718
air_5c817ef28f236bdf,2017-03-18,71,83.30186214205456,83,12.30186214205456
air_5c817ef28f236bdf,2017-03-19,88,47.97431333615916,48,40.02568666384084
air_5c817ef28f236bdf,2017-03-20,35,36.45583954528188,36,1.4558395452818829
air_5c817ef28f236bdf,2017-03-21,4,30.42504125726887,30,26.42504125726887
air_5c817ef28f236bdf,2017-03-22,33,29.197782913529398,29,3.802217086470602
air_5c817ef28f236bdf,2017-03-23,29,36.00201995278807,36,7.002019952788068
air_5c817ef28f236bdf,2017-03-24,70,45.00674990571646,45,24.99325009428354
air_5c817ef28f236bdf,2017-03-25,95,80.832514754967,81,14.167485245033006
air_5c817ef28f236bdf,2017-03-26,33,51.669905978599566,52,18.669905978599566
air_5c817ef28f236bdf,2017-03-27,48,30.124753779014434,30,17.875246220985566
air_5c817ef28f236bdf,2017-03-28,21,31.522778286554352,32,10.522778286554352
air_5c817ef28f236bdf,2017-03-29,39,31.30913254286149,31,7.690867457138509
air_5c817ef28f236bdf,2017-03-30,36,33.957468860432435,34,2.042531139567565
air_5c817ef28f236bdf,2017-03-31,79,45.206348455392735,45,33.793651544607265
air_5c817ef28f236bdf,2017-04-01,67,81.55712747839752,82,14.557127478397518
air_5c817ef28f236bdf,2017-04-02,55,48.62566527878709,49,6.374334721212911
air_5c817ef28f236bdf,2017-04-03,21,30.416895564782077,30,9.416895564782077
air_5c817ef28f236bdf,2017-04-04,45,29.118122129717246,29,15.881877870282754
air_5c817ef28f236bdf,2017-04-05,44,29.540319726764757,30,14.459680273235243
air_5c817ef28f236bdf,2017-04-06,22,33.725777900324445,34,11.725777900324445
air_5c817ef28f236bdf,2017-04-07,56,39.51403462058807,40,16.48596537941193
air_5c817ef28f236bdf,2017-04-08,71,78.92784988737458,79,7.9278498873745775
air_5c817ef28f236bdf,2017-04-09,40,51.347899173863105,51,11.347899173863105
air_5c817ef28f236bdf,2017-04-10,26,27.870971042115094,28,1.8709710421150945
air_5c817ef28f236bdf,2017-04-11,23,28.26244565124615,28,5.26244565124615
air_5c817ef28f236bdf,2017-04-12,44,31.147128434119395,31,12.852871565880605
air_5c817ef28f236bdf,2017-04-13,19,33.824494334697185,34,14.824494334697185
air_5c817ef28f236bdf,2017-04-14,55,46.09954352739849,46,8.900456472601512
air_5c817ef28f236bdf,2017-04-15,69,80.35701225434994,80,11.35701225434994
air_5c817ef28f236bdf,2017-04-16,60,48.911562900642444,49,11.088437099357556
air_5c817ef28f236bdf,2017-04-17,18,29.10969173528015,29,11.109691735280151
air_5c817ef28f236bdf,2017-04-18,30,29.016999862070318,29,0.9830001379296824
air_5c817ef28f236bdf,2017-04-19,20,32.1539145990868,32,12.153914599086796
air_5c817ef28f236bdf,2017-04-20,22,33.30466840247802,33,11.304668402478022
air_5c817ef28f236bdf,2017-04-21,71,47.403706132378645,47,23.596293867621355
air_5c817ef28f236bdf,2017-04-22,97,77.27627141355963,77,19.723728586440373
air_a083834e7ffe187e,2017-03-14,14,16.235817736779005,16,2.235817736779005
air_a083834e7ffe187e,2017-03-15,18,17.277437914974055,17,0.7225620850259453
air_a083834e7ffe187e,2017-03-16,8,15.42714209577697,15,7.42714209577697
air_a083834e7ffe187e,2017-03-17,43,44.376341397982856,44,1.3763413979828556
air_a083834e7ffe187e,2017-03-18,34,34.065486498776124,34,0.06548649877612434
air_a083834e7ffe187e,2017-03-19,27,23.699828082767745,24,3.3001719172322552
air_a083834e7ffe187e,2017-03-20,21,20.578274961709628,21,0.4217250382903721
air_a083834e7ffe187e,2017-03-21,18,20.664238133848922,21,2.6642381338489223
air_a083834e7ffe187e,2017-03-22,39,32.45179096085989,32,6.5482090391401115
