air_store_id,week_start,week_end,days_in_week,actual_weekly_visitors,predicted_weekly_visitors,predicted_weekly_visitors_rounded,average_daily_error,weekly_absolute_error,weekly_practical_accuracy_percent
air_36bcf77d3382d36e,2017-03-13,2017-03-19,5,143,184.11369831813337,183,8.27756943489221,41.11369831813337,71.24916201529135
air_36bcf77d3382d36e,2017-03-20,2017-03-26,7,229,243.70051427493308,243,9.957212843513398,14.700514274933084,93.58056145199428
air_36bcf77d3382d36e,2017-03-27,2017-04-02,7,192,228.25056784727343,228,7.804213056004444,36.25056784727343,81.11949591287842
air_36bcf77d3382d36e,2017-04-03,2017-04-09,7,230,225.86120282592705,226,6.951644129106201,4.138797174072948,98.20052296779437
air_36bcf77d3382d36e,2017-04-10,2017-04-16,7,231,227.14597852457877,227,8.172707753025412,3.8540214754212343,98.33159243488258
air_36bcf77d3382d36e,2017-04-17,2017-04-23,6,157,174.66400809085297,176,6.786786068121643,17.664008090852974,88.74903943257773
air_5c817ef28f236bdf,2017-03-13,2017-03-19,5,255,238.97895783049475,238,17.453463594234158,16.02104216950525,93.7172383648999
air_5c817ef28f236bdf,2017-03-20,2017-03-26,7,299,309.58985430815125,309,13.787965594246504,10.589854308151246,96.45824270630393
air_5c817ef28f236bdf,2017-03-27,2017-04-02,7,345,302.30327468144003,303,13.265219549780527,42.69672531855997,87.62413758882319
air_5c817ef28f236bdf,2017-04-03,2017-04-09,7,299,292.5908990034143,293,12.463706578467733,6.409100996585721,97.85648796100813
air_5c817ef28f236bdf,2017-04-10,2017-04-16,7,296,296.4731581445687,296,9.450955488606864,0.47315814456868566,99.84014927548355
air_5c817ef28f236bdf,2017-04-17,2017-04-23,6,258,248.26525214485355,247,13.14521622147273,9.734747855146452,96.22684191660991
air_a083834e7ffe187e,2017-03-13,2017-03-19,6,144,151.08205372705675,150,2.5212536219288593,7.082053727056746,95.08190713398838
air_a083834e7ffe187e,2017-03-20,2017-03-26,7,218,205.59270055449028,205,2.980984541243373,12.407299445509722,94.30857823600472
air_a083834e7ffe187e,2017-03-27,2017-04-02,6,175,165.3302159429031,166,7.040261456363798,9.669784057096905,94.47440911023034
air_a083834e7ffe187e,2017-04-03,2017-04-09,7,139,169.6716777319165,170,6.981872146041679,30.671677731916503,77.93404479718238
air_a083834e7ffe187e,2017-04-10,2017-04-16,7,143,173.05970660515405,173,5.747329511240619,30.059706605154048,78.97922615024193
air_a083834e7ffe187e,2017-04-17,2017-04-23,6,121,151.51562318959625,150,9.589853981851848,30.515623189596255,74.78047670281302
