air_store_id,week_start,week_end,days_in_week,actual_weekly_visitors,predicted_weekly_visitors,predicted_weekly_visitors_rounded,average_daily_error,weekly_absolute_error,weekly_practical_accuracy_percent
air_36bcf77d3382d36e,2017-03-20,2017-03-26,7,229,247.3255121853619,247,9.65009456948023,18.3255121853619,91.99759293215637
air_36bcf77d3382d36e,2017-03-27,2017-04-02,7,192,234.10559123362344,235,7.994075370295955,42.10559123362344,78.07000456582112
air_36bcf77d3382d36e,2017-04-03,2017-04-09,7,230,227.29919246221263,228,7.470143936788069,2.7008075377873695,98.82573585313592
air_36bcf77d3382d36e,2017-04-10,2017-04-16,7,231,228.09629454986072,228,7.835662358832295,2.9037054501392845,98.74298465361936
air_5c817ef28f236bdf,2017-03-20,2017-03-26,7,299,321.0014922526445,320,12.770935581335653,22.001492252644482,92.64164138707542
air_5c817ef28f236bdf,2017-03-27,2017-04-02,7,345,307.91536757984824,307,13.137985196110519,37.08463242015176,89.25083118256471
air_5c817ef28f236bdf,2017-04-03,2017-04-09,7,299,293.67613383346384,292,11.989867686599245,5.323866166536163,98.21944275366683
air_5c817ef28f236bdf,2017-04-10,2017-04-16,7,296,299.6505026392603,300,8.13773751872206,3.65050263926031,98.76672208133097
air_a083834e7ffe187e,2017-03-20,2017-03-26,7,218,210.1850674419936,211,2.7444812104412515,7.814932558006404,96.41516855137321
air_a083834e7ffe187e,2017-04-03,2017-04-09,7,139,172.14921414541314,171,5.383141000190179,33.14921414541314,76.15164449970277
air_a083834e7ffe187e,2017-04-10,2017-04-16,7,143,171.20716195757183,171,5.628364643465881,28.207161957571827,80.27471191778194
